ds,y
12/4/16,43
12/11/16,54
12/18/16,73
12/25/16,68
1/1/17,58
1/8/17,55
1/15/17,46
1/22/17,73
1/29/17,59
2/5/17,46
2/12/17,38
2/19/17,47
2/26/17,30
3/5/17,39
3/12/17,34
3/19/17,24
3/26/17,49
4/2/17,31
4/9/17,37
4/16/17,58
4/23/17,39
4/30/17,39
5/7/17,51
5/14/17,18
5/21/17,38
5/28/17,24
6/4/17,48
6/11/17,47
6/18/17,55
6/25/17,37
7/2/17,41
7/9/17,37
7/16/17,29
7/23/17,20
7/30/17,40
8/6/17,37
8/13/17,21
8/20/17,46
8/27/17,33
9/3/17,43
9/10/17,40
9/17/17,53
9/24/17,24
10/1/17,40
10/8/17,30
10/15/17,61
10/22/17,32
10/29/17,52
11/5/17,36
11/12/17,45
11/19/17,83
11/26/17,43
12/3/17,46
12/10/17,48
12/17/17,69
12/24/17,60
12/31/17,58
1/7/18,60
1/14/18,40
1/21/18,46
1/28/18,69
2/4/18,40
2/11/18,54
2/18/18,46
2/25/18,40
3/4/18,45
3/11/18,45
3/18/18,39
3/25/18,60
4/1/18,57
4/8/18,48
4/15/18,47
4/22/18,30
4/29/18,37
5/6/18,52
5/13/18,20
5/20/18,28
5/27/18,54
6/3/18,30
6/10/18,41
6/17/18,38
6/24/18,48
7/1/18,46
7/8/18,50
7/15/18,28
7/22/18,48
7/29/18,32
8/5/18,46
8/12/18,36
8/19/18,34
8/26/18,45
9/2/18,43
9/9/18,23
9/16/18,33
9/23/18,52
9/30/18,57
10/7/18,41
10/14/18,50
10/21/18,42
10/28/18,53
11/4/18,62
11/11/18,40
11/18/18,100
11/25/18,44
12/2/18,35
12/9/18,59
12/16/18,42
12/23/18,90
12/30/18,40
1/6/19,96
1/13/19,80
1/20/19,38
1/27/19,70
2/3/19,53
2/10/19,55
2/17/19,36
2/24/19,48
3/3/19,40
3/10/19,34
3/17/19,38
3/24/19,42
3/31/19,33
4/7/19,46
4/14/19,56
4/21/19,41
4/28/19,42
5/5/19,48
5/12/19,41
5/19/19,52
5/26/19,41
6/2/19,34
6/9/19,61
6/16/19,57
6/23/19,33
6/30/19,56
7/7/19,26
7/14/19,50
7/21/19,50
7/28/19,36
8/4/19,36
8/11/19,56
8/18/19,48
8/25/19,49
9/1/19,48
9/8/19,57
9/15/19,20
9/22/19,42
9/29/19,51
10/6/19,54
10/13/19,50
10/20/19,48
10/27/19,63
11/3/19,49
11/10/19,26
11/17/19,59
11/24/19,95
12/1/19,48
12/8/19,61
12/15/19,63
12/22/19,89
12/29/19,44
1/5/20,35
1/12/20,35
1/19/20,49
1/26/20,48
2/2/20,43
2/9/20,48
2/16/20,59
2/23/20,46
3/1/20,44
3/8/20,43
3/15/20,46
3/22/20,40
3/29/20,41
4/5/20,63
4/12/20,55
4/19/20,68
4/26/20,63
5/3/20,50
5/10/20,48
5/17/20,41
5/24/20,45
5/31/20,48
6/7/20,29
6/14/20,46
6/21/20,69
6/28/20,64
7/5/20,61
7/12/20,40
7/19/20,45
7/26/20,36
8/2/20,53
8/9/20,37
8/16/20,59
8/23/20,35
8/30/20,49
9/6/20,45
9/13/20,54
9/20/20,47
9/27/20,48
10/4/20,47
10/11/20,41
10/18/20,50
10/25/20,43
11/1/20,43
11/8/20,51
11/15/20,56
11/22/20,62
11/29/20,48
12/6/20,60
12/13/20,51
12/20/20,79
12/27/20,53
1/3/21,39
1/10/21,57
1/17/21,73
1/24/21,57
1/31/21,42
2/7/21,39
2/14/21,87
2/21/21,69
2/28/21,78
3/7/21,31
3/14/21,51
3/21/21,52
3/28/21,55
4/4/21,39
4/11/21,57
4/18/21,46
4/25/21,23
5/2/21,44
5/9/21,34
5/16/21,37
5/23/21,46
5/30/21,56
6/6/21,54
6/13/21,53
6/20/21,48
6/27/21,40
7/4/21,56
7/11/21,41
7/18/21,43
7/25/21,64
8/1/21,63
8/8/21,50
8/15/21,37
8/22/21,42
8/29/21,28
9/5/21,42
9/12/21,33
9/19/21,62
9/26/21,68
10/3/21,45
10/10/21,65
10/17/21,44
10/24/21,54
10/31/21,40
11/7/21,44
11/14/21,50
11/21/21,80
11/28/21,39
