ds,y
12/4/16,0
12/11/16,0
12/18/16,0
12/25/16,0
1/1/17,0
1/8/17,0
1/15/17,41
1/22/17,0
1/29/17,20
2/5/17,0
2/12/17,0
2/19/17,0
2/26/17,0
3/5/17,38
3/12/17,20
3/19/17,0
3/26/17,0
4/2/17,0
4/9/17,0
4/16/17,0
4/23/17,20
4/30/17,0
5/7/17,20
5/14/17,23
5/21/17,0
5/28/17,0
6/4/17,0
6/11/17,0
6/18/17,22
6/25/17,0
7/2/17,0
7/9/17,0
7/16/17,0
7/23/17,0
7/30/17,0
8/6/17,23
8/13/17,0
8/20/17,70
8/27/17,23
9/3/17,22
9/10/17,0
9/17/17,0
9/24/17,22
10/1/17,0
10/8/17,21
10/15/17,0
10/22/17,0
10/29/17,22
11/5/17,0
11/12/17,22
11/19/17,0
11/26/17,21
12/3/17,0
12/10/17,21
12/17/17,0
12/24/17,0
12/31/17,0
1/7/18,22
1/14/18,0
1/21/18,0
1/28/18,0
2/4/18,21
2/11/18,22
2/18/18,45
2/25/18,0
3/4/18,20
3/11/18,0
3/18/18,0
3/25/18,23
4/1/18,22
4/8/18,22
4/15/18,22
4/22/18,0
4/29/18,0
5/6/18,0
5/13/18,0
5/20/18,23
5/27/18,0
6/3/18,0
6/10/18,22
6/17/18,0
6/24/18,0
7/1/18,0
7/8/18,0
7/15/18,0
7/22/18,0
7/29/18,23
8/5/18,22
8/12/18,23
8/19/18,0
8/26/18,0
9/2/18,0
9/9/18,0
9/16/18,22
9/23/18,0
9/30/18,0
10/7/18,22
10/14/18,0
10/21/18,44
10/28/18,0
11/4/18,21
11/11/18,0
11/18/18,0
11/25/18,21
12/2/18,41
12/9/18,0
12/16/18,0
12/23/18,50
12/30/18,0
1/6/19,22
1/13/19,0
1/20/19,0
1/27/19,20
2/3/19,18
2/10/19,0
2/17/19,21
2/24/19,0
3/3/19,0
3/10/19,37
3/17/19,0
3/24/19,0
3/31/19,19
4/7/19,0
4/14/19,0
4/21/19,0
4/28/19,0
5/5/19,20
5/12/19,22
5/19/19,22
5/26/19,0
6/2/19,0
6/9/19,0
6/16/19,0
6/23/19,0
6/30/19,23
7/7/19,62
7/14/19,0
7/21/19,41
7/28/19,0
8/4/19,21
8/11/19,19
8/18/19,0
8/25/19,21
9/1/19,0
9/8/19,20
9/15/19,17
9/22/19,19
9/29/19,0
10/6/19,0
10/13/19,19
10/20/19,0
10/27/19,20
11/3/19,0
11/10/19,18
11/17/19,0
11/24/19,0
12/1/19,18
12/8/19,36
12/15/19,0
12/22/19,0
12/29/19,62
1/5/20,19
1/12/20,0
1/19/20,19
1/26/20,0
2/2/20,19
2/9/20,0
2/16/20,0
2/23/20,0
3/1/20,0
3/8/20,34
3/15/20,17
3/22/20,0
3/29/20,0
4/5/20,0
4/12/20,17
4/19/20,0
4/26/20,17
5/3/20,32
5/10/20,0
5/17/20,18
5/24/20,0
5/31/20,0
6/7/20,17
6/14/20,19
6/21/20,19
6/28/20,0
7/5/20,18
7/12/20,18
7/19/20,37
7/26/20,19
8/2/20,0
8/9/20,0
8/16/20,18
8/23/20,0
8/30/20,0
9/6/20,0
9/13/20,0
9/20/20,0
9/27/20,0
10/4/20,0
10/11/20,20
10/18/20,0
10/25/20,21
11/1/20,0
11/8/20,0
11/15/20,21
11/22/20,0
11/29/20,0
12/6/20,0
12/13/20,0
12/20/20,0
12/27/20,0
1/3/21,0
1/10/21,19
1/17/21,0
1/24/21,0
1/31/21,0
2/7/21,0
2/14/21,100
2/21/21,0
2/28/21,0
3/7/21,19
3/14/21,38
3/21/21,41
3/28/21,20
4/4/21,0
4/11/21,38
4/18/21,0
4/25/21,60
5/2/21,0
5/9/21,0
5/16/21,0
5/23/21,0
5/30/21,0
6/6/21,19
6/13/21,20
6/20/21,0
6/27/21,0
7/4/21,0
7/11/21,19
7/18/21,0
7/25/21,18
8/1/21,0
8/8/21,0
8/15/21,0
8/22/21,20
8/29/21,0
9/5/21,0
9/12/21,0
9/19/21,0
9/26/21,37
10/3/21,0
10/10/21,15
10/17/21,14
10/24/21,0
10/31/21,0
11/7/21,0
11/14/21,0
11/21/21,0
11/28/21,0
