ds,y
12/4/16,10
12/11/16,30
12/18/16,11
12/25/16,83
1/1/17,11
1/8/17,0
1/15/17,11
1/22/17,20
1/29/17,39
2/5/17,19
2/12/17,29
2/19/17,30
2/26/17,0
3/5/17,38
3/12/17,20
3/19/17,29
3/26/17,10
4/2/17,48
4/9/17,51
4/16/17,42
4/23/17,10
4/30/17,10
5/7/17,20
5/14/17,34
5/21/17,44
5/28/17,35
6/4/17,0
6/11/17,23
6/18/17,22
6/25/17,0
7/2/17,38
7/9/17,0
7/16/17,35
7/23/17,22
7/30/17,0
8/6/17,11
8/13/17,11
8/20/17,45
8/27/17,11
9/3/17,10
9/10/17,51
9/17/17,10
9/24/17,72
10/1/17,20
10/8/17,20
10/15/17,31
10/22/17,0
10/29/17,50
11/5/17,20
11/12/17,40
11/19/17,22
11/26/17,0
12/3/17,20
12/10/17,29
12/17/17,22
12/24/17,47
12/31/17,32
1/7/18,10
1/14/18,20
1/21/18,30
1/28/18,40
2/4/18,19
2/11/18,29
2/18/18,10
2/25/18,38
3/4/18,20
3/11/18,79
3/18/18,49
3/25/18,100
4/1/18,82
4/8/18,10
4/15/18,10
4/22/18,30
4/29/18,0
5/6/18,0
5/13/18,22
5/20/18,44
5/27/18,0
6/3/18,11
6/10/18,31
6/17/18,22
6/24/18,0
7/1/18,12
7/8/18,11
7/15/18,0
7/22/18,22
7/29/18,0
8/5/18,33
8/12/18,0
8/19/18,12
8/26/18,11
9/2/18,11
9/9/18,10
9/16/18,21
9/23/18,10
9/30/18,31
10/7/18,21
10/14/18,21
10/21/18,20
10/28/18,31
11/4/18,10
11/11/18,10
11/18/18,0
11/25/18,40
12/2/18,30
12/9/18,21
12/16/18,11
12/23/18,37
12/30/18,11
1/6/19,11
1/13/19,20
1/20/19,41
1/27/19,20
2/3/19,50
2/10/19,20
2/17/19,0
2/24/19,49
3/3/19,42
3/10/19,21
3/17/19,21
3/24/19,61
3/31/19,41
4/7/19,42
4/14/19,55
4/21/19,94
4/28/19,10
5/5/19,42
5/12/19,21
5/19/19,44
5/26/19,34
6/2/19,21
6/9/19,0
6/16/19,11
6/23/19,11
6/30/19,12
7/7/19,33
7/14/19,11
7/21/19,46
7/28/19,45
8/4/19,11
8/11/19,0
8/18/19,0
8/25/19,21
9/1/19,30
9/8/19,19
9/15/19,19
9/22/19,10
9/29/19,29
10/6/19,10
10/13/19,20
10/20/19,19
10/27/19,9
11/3/19,9
11/10/19,28
11/17/19,10
11/24/19,30
12/1/19,9
12/8/19,19
12/15/19,28
12/22/19,43
12/29/19,30
1/5/20,48
1/12/20,27
1/19/20,46
1/26/20,0
2/2/20,45
2/9/20,64
2/16/20,27
2/23/20,35
3/1/20,17
3/8/20,26
3/15/20,8
3/22/20,24
3/29/20,8
4/5/20,40
4/12/20,62
4/19/20,62
4/26/20,54
5/3/20,39
5/10/20,40
5/17/20,0
5/24/20,26
5/31/20,24
6/7/20,33
6/14/20,70
6/21/20,18
6/28/20,9
7/5/20,18
7/12/20,28
7/19/20,9
7/26/20,28
8/2/20,9
8/9/20,19
8/16/20,46
8/23/20,36
8/30/20,53
9/6/20,62
9/13/20,59
9/20/20,43
9/27/20,18
10/4/20,0
10/11/20,20
10/18/20,30
10/25/20,30
11/1/20,25
11/8/20,20
11/15/20,29
11/22/20,70
11/29/20,19
12/6/20,19
12/13/20,41
12/20/20,86
12/27/20,70
1/3/21,9
1/10/21,38
1/17/21,29
1/24/21,29
1/31/21,20
2/7/21,38
2/14/21,50
2/21/21,20
2/28/21,19
3/7/21,29
3/14/21,71
3/21/21,69
3/28/21,100
4/4/21,80
4/11/21,10
4/18/21,0
4/25/21,20
5/2/21,20
5/9/21,31
5/16/21,76
5/23/21,43
5/30/21,22
6/6/21,32
6/13/21,21
6/20/21,22
6/27/21,22
7/4/21,66
7/11/21,21
7/18/21,0
7/25/21,55
8/1/21,55
8/8/21,22
8/15/21,11
8/22/21,33
8/29/21,33
9/5/21,35
9/12/21,44
9/19/21,34
9/26/21,34
10/3/21,0
10/10/21,8
10/17/21,48
10/24/21,16
10/31/21,24
11/7/21,24
11/14/21,8
11/21/21,8
11/28/21,0
