ds,y
12/4/16,24
12/11/16,68
12/18/16,36
12/25/16,62
1/1/17,50
1/8/17,73
1/15/17,71
1/22/17,39
1/29/17,69
2/5/17,47
2/12/17,61
2/19/17,57
2/26/17,52
3/5/17,37
3/12/17,55
3/19/17,44
3/26/17,41
4/2/17,34
4/9/17,32
4/16/17,37
4/23/17,21
4/30/17,50
5/7/17,43
5/14/17,55
5/21/17,31
5/28/17,69
6/4/17,62
6/11/17,36
6/18/17,38
6/25/17,69
7/2/17,67
7/9/17,32
7/16/17,57
7/23/17,43
7/30/17,15
8/6/17,56
8/13/17,48
8/20/17,35
8/27/17,38
9/3/17,18
9/10/17,29
9/17/17,32
9/24/17,29
10/1/17,36
10/8/17,65
10/15/17,54
10/22/17,53
10/29/17,24
11/5/17,45
11/12/17,35
11/19/17,38
11/26/17,38
12/3/17,63
12/10/17,60
12/17/17,30
12/24/17,29
12/31/17,52
1/7/18,48
1/14/18,100
1/21/18,42
1/28/18,46
2/4/18,37
2/11/18,52
2/18/18,35
2/25/18,40
3/4/18,38
3/11/18,42
3/18/18,49
3/25/18,53
4/1/18,50
4/8/18,56
4/15/18,52
4/22/18,53
4/29/18,67
5/6/18,25
5/13/18,38
5/20/18,58
5/27/18,47
6/3/18,38
6/10/18,29
6/17/18,19
6/24/18,35
7/1/18,54
7/8/18,46
7/15/18,39
7/22/18,34
7/29/18,80
8/5/18,39
8/12/18,59
8/19/18,57
8/26/18,42
9/2/18,46
9/9/18,50
9/16/18,40
9/23/18,80
9/30/18,33
10/7/18,89
10/14/18,40
10/21/18,43
10/28/18,26
11/4/18,59
11/11/18,36
11/18/18,39
11/25/18,42
12/2/18,49
12/9/18,62
12/16/18,64
12/23/18,90
12/30/18,73
1/6/19,49
1/13/19,86
1/20/19,43
1/27/19,83
2/3/19,52
2/10/19,42
2/17/19,74
2/24/19,52
3/3/19,58
3/10/19,45
3/17/19,33
3/24/19,76
3/31/19,72
4/7/19,48
4/14/19,51
4/21/19,40
4/28/19,68
5/5/19,33
5/12/19,45
5/19/19,34
5/26/19,35
6/2/19,52
6/9/19,71
6/16/19,26
6/23/19,63
6/30/19,62
7/7/19,43
7/14/19,60
7/21/19,49
7/28/19,44
8/4/19,43
8/11/19,59
8/18/19,69
8/25/19,45
9/1/19,70
9/8/19,30
9/15/19,37
9/22/19,57
9/29/19,37
10/6/19,55
10/13/19,59
10/20/19,40
10/27/19,56
11/3/19,49
11/10/19,75
11/17/19,47
11/24/19,50
12/1/19,26
12/8/19,37
12/15/19,63
12/22/19,49
12/29/19,42
1/5/20,87
1/12/20,47
1/19/20,55
1/26/20,67
2/2/20,56
2/9/20,86
2/16/20,61
2/23/20,39
3/1/20,24
3/8/20,50
3/15/20,47
3/22/20,72
3/29/20,55
4/5/20,85
4/12/20,62
4/19/20,92
4/26/20,81
5/3/20,76
5/10/20,54
5/17/20,57
5/24/20,66
5/31/20,37
6/7/20,53
6/14/20,58
6/21/20,59
6/28/20,91
7/5/20,74
7/12/20,65
7/19/20,59
7/26/20,66
8/2/20,61
8/9/20,36
8/16/20,75
8/23/20,54
8/30/20,87
9/6/20,47
9/13/20,50
9/20/20,33
9/27/20,57
10/4/20,58
10/11/20,77
10/18/20,63
10/25/20,73
11/1/20,55
11/8/20,89
11/15/20,58
11/22/20,46
11/29/20,53
12/6/20,17
12/13/20,50
12/20/20,57
12/27/20,78
1/3/21,83
1/10/21,83
1/17/21,94
1/24/21,90
1/31/21,75
2/7/21,47
2/14/21,77
2/21/21,58
2/28/21,68
3/7/21,61
3/14/21,59
3/21/21,31
3/28/21,60
4/4/21,60
4/11/21,69
4/18/21,42
4/25/21,62
5/2/21,60
5/9/21,48
5/16/21,69
5/23/21,37
5/30/21,47
6/6/21,56
6/13/21,62
6/20/21,62
6/27/21,42
7/4/21,47
7/11/21,66
7/18/21,51
7/25/21,54
8/1/21,54
8/8/21,65
8/15/21,34
8/22/21,46
8/29/21,71
9/5/21,49
9/12/21,55
9/19/21,51
9/26/21,76
10/3/21,36
10/10/21,36
10/17/21,28
10/24/21,36
10/31/21,36
11/7/21,47
11/14/21,56
11/21/21,31
11/28/21,30
