ds,y
12/4/16,4
12/11/16,5
12/18/16,5
12/25/16,9
1/1/17,9
1/8/17,7
1/15/17,4
1/22/17,4
1/29/17,5
2/5/17,5
2/12/17,3
2/19/17,3
2/26/17,2
3/5/17,5
3/12/17,7
3/19/17,6
3/26/17,5
4/2/17,4
4/9/17,5
4/16/17,3
4/23/17,3
4/30/17,6
5/7/17,4
5/14/17,4
5/21/17,1
5/28/17,6
6/4/17,3
6/11/17,4
6/18/17,1
6/25/17,2
7/2/17,2
7/9/17,4
7/16/17,5
7/23/17,2
7/30/17,4
8/6/17,2
8/13/17,4
8/20/17,2
8/27/17,1
9/3/17,4
9/10/17,3
9/17/17,5
9/24/17,4
10/1/17,5
10/8/17,5
10/15/17,3
10/22/17,7
10/29/17,7
11/5/17,13
11/12/17,23
11/19/17,87
11/26/17,12
12/3/17,5
12/10/17,2
12/17/17,6
12/24/17,12
12/31/17,7
1/7/18,4
1/14/18,5
1/21/18,2
1/28/18,2
2/4/18,8
2/11/18,4
2/18/18,4
2/25/18,6
3/4/18,7
3/11/18,2
3/18/18,4
3/25/18,7
4/1/18,2
4/8/18,4
4/15/18,4
4/22/18,5
4/29/18,7
5/6/18,3
5/13/18,4
5/20/18,2
5/27/18,3
6/3/18,4
6/10/18,2
6/17/18,5
6/24/18,1
7/1/18,3
7/8/18,2
7/15/18,4
7/22/18,1
7/29/18,3
8/5/18,1
8/12/18,2
8/19/18,3
8/26/18,4
9/2/18,5
9/9/18,5
9/16/18,6
9/23/18,2
9/30/18,6
10/7/18,4
10/14/18,7
10/21/18,11
10/28/18,7
11/4/18,12
11/11/18,28
11/18/18,97
11/25/18,13
12/2/18,4
12/9/18,6
12/16/18,6
12/23/18,5
12/30/18,7
1/6/19,2
1/13/19,3
1/20/19,5
1/27/19,5
2/3/19,5
2/10/19,4
2/17/19,5
2/24/19,5
3/3/19,2
3/10/19,2
3/17/19,3
3/24/19,2
3/31/19,5
4/7/19,9
4/14/19,5
4/21/19,3
4/28/19,6
5/5/19,2
5/12/19,1
5/19/19,3
5/26/19,3
6/2/19,2
6/9/19,3
6/16/19,3
6/23/19,3
6/30/19,3
7/7/19,2
7/14/19,2
7/21/19,3
7/28/19,3
8/4/19,4
8/11/19,2
8/18/19,3
8/25/19,7
9/1/19,5
9/8/19,4
9/15/19,3
9/22/19,6
9/29/19,4
10/6/19,8
10/13/19,6
10/20/19,4
10/27/19,7
11/3/19,11
11/10/19,12
11/17/19,25
11/24/19,87
12/1/19,9
12/8/19,4
12/15/19,5
12/22/19,7
12/29/19,3
1/5/20,4
1/12/20,5
1/19/20,3
1/26/20,3
2/2/20,5
2/9/20,4
2/16/20,3
2/23/20,8
3/1/20,4
3/8/20,8
3/15/20,5
3/22/20,6
3/29/20,5
4/5/20,6
4/12/20,8
4/19/20,7
4/26/20,8
5/3/20,7
5/10/20,4
5/17/20,4
5/24/20,4
5/31/20,4
6/7/20,4
6/14/20,4
6/21/20,4
6/28/20,3
7/5/20,4
7/12/20,4
7/19/20,2
7/26/20,4
8/2/20,5
8/9/20,4
8/16/20,3
8/23/20,5
8/30/20,6
9/6/20,1
9/13/20,3
9/20/20,2
9/27/20,3
10/4/20,4
10/11/20,6
10/18/20,1
10/25/20,7
11/1/20,10
11/8/20,15
11/15/20,27
11/22/20,100
11/29/20,12
12/6/20,6
12/13/20,6
12/20/20,9
12/27/20,6
1/3/21,4
1/10/21,6
1/17/21,6
1/24/21,4
1/31/21,5
2/7/21,4
2/14/21,4
2/21/21,5
2/28/21,5
3/7/21,4
3/14/21,4
3/21/21,5
3/28/21,6
4/4/21,6
4/11/21,9
4/18/21,3
4/25/21,2
5/2/21,3
5/9/21,3
5/16/21,5
5/23/21,6
5/30/21,5
6/6/21,5
6/13/21,1
6/20/21,3
6/27/21,4
7/4/21,2
7/11/21,3
7/18/21,4
7/25/21,3
8/1/21,2
8/8/21,2
8/15/21,1
8/22/21,3
8/29/21,4
9/5/21,3
9/12/21,4
9/19/21,4
9/26/21,5
10/3/21,3
10/10/21,6
10/17/21,6
10/24/21,7
10/31/21,10
11/7/21,9
11/14/21,23
11/21/21,78
11/28/21,20
